lambda_value, threshold, percent_correct
1e-05,0.0,0.00980392156862745
1e-05,111.111111111,0.49465588235294117
1e-05,222.222222222,0.7736813725490196
1e-05,333.333333333,0.8091107843137255
1e-05,444.444444444,0.762856862745098
1e-05,246.913580247,0.7940882352941177
1e-05,271.604938272,0.804171568627451
1e-05,296.296296296,0.8317117647058824
1e-05,320.987654321,0.8173882352941176
1e-05,345.679012346,0.8100303921568628
1e-05,370.37037037,0.8196970588235294
1e-05,395.061728395,0.7984382352941176
1e-05,419.75308642,0.7759627450980392
1e-05,277.091906722,0.8017862745098039
1e-05,282.578875171,0.8189029411764706
1e-05,288.065843621,0.8260539215686274
1e-05,293.552812071,0.8331294117647059
1e-05,299.039780521,0.8302441176470589
1e-05,304.526748971,0.8272343137254902
1e-05,310.013717421,0.8241039215686274
1e-05,315.500685871,0.8207754901960784
1e-05,289.285169944,0.8254617647058824
1e-05,290.504496266,0.8248480392156863
1e-05,291.723822588,0.8340588235294117
1e-05,292.94314891,0.8334578431372549
1e-05,294.162475232,0.832828431372549
1e-05,295.381801555,0.8321980392156862
1e-05,296.601127877,0.8315137254901961
1e-05,297.820454199,0.8308794117647059
1e-06,0.0,0.00980392156862745
1e-06,111.111111111,0.21385098039215686
1e-06,222.222222222,0.5874441176470588
1e-06,333.333333333,0.7519186274509804
1e-06,444.444444444,0.8300892156862745
1e-06,555.555555556,0.9023264705882353
1e-06,666.666666667,0.9052049019607843
1e-06,777.777777778,0.9006421568627451
1e-06,888.888888889,0.8885411764705883
1e-06,1000.0,0.8978078431372549
1e-06,580.24691358,0.898478431372549
1e-06,604.938271605,0.8947019607843137
1e-06,629.62962963,0.9106764705882353
1e-06,654.320987654,0.906978431372549
1e-06,679.012345679,0.9034950980392157
1e-06,703.703703704,0.9000441176470588
1e-06,728.395061728,0.9066666666666666
1e-06,753.086419753,0.9035813725490196
1e-06,610.425240055,0.9036941176470589
1e-06,615.912208505,0.9126607843137254
1e-06,621.399176955,0.9119039215686274
1e-06,626.886145405,0.9110764705882353
1e-06,632.373113855,0.9102441176470588
1e-06,637.860082305,0.9094058823529412
1e-06,643.347050754,0.9085705882352941
1e-06,648.834019204,0.9077696078431372
1e-06,611.644566377,0.9035088235294118
1e-06,612.863892699,0.9033215686274509
1e-06,614.083219021,0.9129352941176471
1e-06,615.302545344,0.9127617647058823
1e-06,616.521871666,0.9125725490196078
1e-06,617.741197988,0.9124029411764706
1e-06,618.96052431,0.9122411764705882
1e-06,620.179850633,0.9120774509803922
1e-07,0.0,0.00980392156862745
1e-07,111.111111111,0.22231470588235294
1e-07,222.222222222,0.5573803921568627
1e-07,333.333333333,0.7148441176470588
1e-07,444.444444444,0.8131470588235294
1e-07,555.555555556,0.8426862745098039
1e-07,666.666666667,0.8915745098039216
1e-07,777.777777778,0.9105264705882353
1e-07,888.888888889,0.9189245098039216
1e-07,1000.0,0.9362980392156863
1e-07,913.580246914,0.9185166666666666
1e-07,938.271604938,0.9180411764705882
1e-07,962.962962963,0.917514705882353
1e-07,987.654320988,0.916971568627451
1e-07,1012.34567901,0.9359666666666666
1e-07,1037.03703704,0.9353
1e-07,1061.72839506,0.9443931372549019
1e-07,1086.41975309,0.9436205882352942
1e-07,1042.52400549,0.9449333333333333
1e-07,1048.01097394,0.9447911764705882
1e-07,1053.49794239,0.944628431372549
1e-07,1058.98491084,0.9444794117647058
1e-07,1064.47187929,0.9443
1e-07,1069.95884774,0.9441519607843137
1e-07,1075.44581619,0.94395
1e-07,1080.93278464,0.9437598039215687
1e-07,1038.25636336,0.935256862745098
1e-07,1039.47568968,0.9352264705882353
1e-07,1040.695016,0.9449921568627451
1e-07,1041.91434233,0.9449490196078432
1e-07,1043.13366865,0.9449156862745098
1e-07,1044.35299497,0.9448862745098039
1e-07,1045.57232129,0.9448568627450981
1e-07,1046.79164761,0.9448235294117647
