#ProfileFileVersion=5.2
#ProfilerVersion=5.2.6553
#API=OpenCL
#Application=/home/pfandedd/git/DissertationCode/SGpp/datadriven/examplesOCL/clustering_cmd
#ApplicationArgs=--binary_header_file datasets_WPDM18/gaussian_c100_size1000000_dim10_noise --config OCL_configs/config_ocl_float_w8100.cfg --lambda 1E-7 --epsilon 1E-3 --threshold 1500.0 --level 7 --k 6 --print_cluster_sizes 1
#WorkingDirectory=.
#Device Hawaii Platform Vendor=Advanced Micro Devices, Inc.
#Device Hawaii Platform Name=AMD Accelerated Parallel Processing
#Device Hawaii Platform Version=OpenCL 2.0 AMD-APP (2482.3)
#Device Hawaii CLDriver Version=2482.3
#Device Hawaii CLRuntime Version=OpenCL 1.2 AMD-APP (2482.3)
#Device Hawaii NumberAppAddressBits=64
#OS Version=Linux version 4.10.0-28-generic (buildd@lgw01-12) (gcc version 5.4.0 20160609 (Ubuntu 5.4.0-6ubuntu1~16.04.4) ) #32~16.04.2-Ubuntu SMP Thu Jul 20 10:19:48 UTC 2017 Build 4.10.0
#DisplayName=
#ListSeparator=;
#ForceSinglePass=False
Method; ExecutionOrder; ThreadID; CallIndex; GlobalWorkSize; WorkGroupSize; Time; LocalMemSize; VGPRs; SGPRs; ScratchRegs; Wavefronts; VALUInsts; SALUInsts; VFetchInsts; SFetchInsts; VWriteInsts; FlatVMemInsts; LDSInsts; FlatLDSInsts; GDSInsts; VALUUtilization; VALUBusy; SALUBusy; FetchSize; WriteSize; CacheHit; MemUnitBusy; MemUnitStalled; WriteUnitStalled; LDSBankConflict
cscheme__k1_Hawaii1; 1; 4734; 38; { 397952       1       1}; {  128     1     1};      8567.70311; 1280; 53; 13; 0;      6218.00;  41628814.00;   1753138.00;     47817.50;         5.00;         1.00;     47818.50;   5179687.50;         0.00;         0.00;        99.68;        86.41;        14.18;  37164572.31;      1554.03;        69.46;         3.27;         0.00;         0.00;         0.08
multdensity__k2_Hawaii1; 2; 4734; 62; { 397952       1       1}; {  128     1     1};     10821.38267; 3968; 80; 20; 0;      6218.00;  48450716.00;    310904.00;     62190.00;         5.00;         2.00;     62192.00;   6267744.00;         0.00;         0.00;        99.67;        83.06;         2.13; 118390197.56;      1554.50;        20.66;         2.93;         0.00;         0.00;         0.08
multdensity__k2_Hawaii1; 3; 4734; 77; { 397952       1       1}; {  128     1     1};     11501.43807; 3968; 80; 20; 0;      6218.00;  48450716.00;    310904.00;     62190.00;         5.00;         2.00;     62192.00;   6267744.00;         0.00;         0.00;        99.67;        78.59;         2.02; 110340961.06;      1555.50;        26.28;         2.93;         0.00;         0.00;         0.08
multdensity__k2_Hawaii1; 4; 4734; 92; { 397952       1       1}; {  128     1     1};     11637.41348; 3968; 80; 20; 0;      6218.00;  48450716.00;    310904.00;     62190.00;         5.00;         2.00;     62192.00;   6267744.00;         0.00;         0.00;        99.67;        79.11;         2.03; 115255990.75;      1554.50;        22.96;         2.93;         0.00;         0.00;         0.08
multdensity__k2_Hawaii1; 5; 4734; 107; { 397952       1       1}; {  128     1     1};     11639.66474; 3968; 80; 20; 0;      6218.00;  48450716.00;    310904.00;     62190.00;         5.00;         2.00;     62192.00;   6267744.00;         0.00;         0.00;        99.67;        78.45;         2.01; 121452638.50;      1554.75;        18.46;         2.98;         0.00;         0.00;         0.08
multdensity__k2_Hawaii1; 6; 4734; 122; { 397952       1       1}; {  128     1     1};     11346.85007; 3968; 80; 20; 0;      6218.00;  48450716.00;    310904.00;     62190.00;         5.00;         2.00;     62192.00;   6267744.00;         0.00;         0.00;        99.67;        78.47;         2.01; 119332677.69;      1554.50;        20.13;         2.93;         0.00;         0.00;         0.08
multdensity__k2_Hawaii1; 7; 4734; 137; { 397952       1       1}; {  128     1     1};     11865.92933; 3968; 80; 20; 0;      6218.00;  48450716.00;    310904.00;     62190.00;         5.00;         2.00;     62192.00;   6267744.00;         0.00;         0.00;        99.67;        78.60;         2.02; 116289448.62;      1555.19;        22.18;         2.93;         0.00;         0.00;         0.08
multdensity__k2_Hawaii1; 8; 4734; 152; { 397952       1       1}; {  128     1     1};     11723.04993; 3968; 80; 20; 0;      6218.00;  48450716.00;    310904.00;     62190.00;         5.00;         2.00;     62192.00;   6267744.00;         0.00;         0.00;        99.67;        78.57;         2.02; 105581747.62;      1556.00;        29.38;         2.91;         0.00;         0.00;         0.08
multdensity__k2_Hawaii1; 9; 4734; 167; { 397952       1       1}; {  128     1     1};     11586.02667; 3968; 80; 20; 0;      6218.00;  48450716.00;    310904.00;     62190.00;         5.00;         2.00;     62192.00;   6267744.00;         0.00;         0.00;        99.67;        82.95;         2.13; 113620876.12;      1555.00;        24.09;         2.94;         0.00;         0.00;         0.08
multdensity__k2_Hawaii1; 10; 4734; 182; { 397952       1       1}; {  128     1     1};     11749.94178; 3968; 80; 20; 0;      6218.00;  48450716.00;    310904.00;     62190.00;         5.00;         2.00;     62192.00;   6267744.00;         0.00;         0.00;        99.67;        78.49;         2.01;  93351106.12;      1554.50;        37.68;         2.87;         0.00;         0.00;         0.08
multdensity__k2_Hawaii1; 11; 4734; 197; { 397952       1       1}; {  128     1     1};     11209.13274; 3968; 80; 20; 0;      6218.00;  48450716.00;    310904.00;     62190.00;         5.00;         2.00;     62192.00;   6267744.00;         0.00;         0.00;        99.67;        78.41;         2.01;  69365989.62;      1555.00;        53.70;         2.68;         0.00;         0.00;         0.08
multdensity__k2_Hawaii1; 12; 4734; 212; { 397952       1       1}; {  128     1     1};     11161.54252; 3968; 80; 20; 0;      6218.00;  48450716.00;    310904.00;     62190.00;         5.00;         2.00;     62192.00;   6267744.00;         0.00;         0.00;        99.67;        78.48;         2.01;  77652549.31;      1554.50;        48.18;         2.75;         0.00;         0.00;         0.08
