#ProfileFileVersion=5.2
#ProfilerVersion=5.2.6553
#API=OpenCL
#Application=/home/pfandedd/git/SGpp/datadriven/examplesOCL/clustering_cmd
#ApplicationArgs=--datasetFileName datasets/friedman/friedman2_4d_500000.arff --config config_ocl_double_w8100.cfg --level 7 --lambda 2E-2 --k 5 --threshold 0.8 --density_eval_full_grid_level 8 --refinement_steps 0 --refinement_points 10 --coarsen_points 10 --coarsen_threshold 0.05
#WorkingDirectory=.
#Device Hawaii Platform Vendor=Advanced Micro Devices, Inc.
#Device Hawaii Platform Name=AMD Accelerated Parallel Processing
#Device Hawaii Platform Version=OpenCL 2.0 AMD-APP (2482.3)
#Device Hawaii CLDriver Version=2482.3
#Device Hawaii CLRuntime Version=OpenCL 1.2 AMD-APP (2482.3)
#Device Hawaii NumberAppAddressBits=64
#OS Version=Linux version 4.10.0-28-generic (buildd@lgw01-12) (gcc version 5.4.0 20160609 (Ubuntu 5.4.0-6ubuntu1~16.04.4) ) #32~16.04.2-Ubuntu SMP Thu Jul 20 10:19:48 UTC 2017 Build 4.10.0
#DisplayName=
#ListSeparator=;
#ForceSinglePass=False
Method; ExecutionOrder; ThreadID; CallIndex; GlobalWorkSize; WorkGroupSize; Time; LocalMemSize; VGPRs; SGPRs; ScratchRegs; Wavefronts; VALUInsts; SALUInsts; VFetchInsts; SFetchInsts; VWriteInsts; FlatVMemInsts; LDSInsts; FlatLDSInsts; GDSInsts; VALUUtilization; VALUBusy; SALUBusy; FetchSize; WriteSize; CacheHit; MemUnitBusy; MemUnitStalled; WriteUnitStalled; LDSBankConflict
cscheme__k1_Hawaii1; 1; 12111; 36; {   8064       1       1}; {  128     1     1};       378.38148; 4096; 36; 16; 0;       126.00;  14097711.02;   5031277.99;     15627.98;         4.98;         0.99;     15628.98;   1007813.00;         0.00;         0.00;        97.88;        21.91;        18.67;     30228.12;        62.03;        96.92;         0.46;         0.00;         0.00;         0.04
multdensity__k2_Hawaii1; 2; 12111; 60; {   8064       1       1}; {  128     1     1};        11.70948; 11264; 95; 20; 0;       126.00;    531072.00;      3660.00;       384.00;         4.00;         2.00;       386.00;     52857.00;         0.00;         0.00;       100.00;        29.45;         0.44;       713.94;        63.00;        98.25;         0.36;         0.00;         0.00;         0.06
multdensity__k2_Hawaii1; 3; 12111; 75; {   8064       1       1}; {  128     1     1};        11.71007; 11264; 95; 20; 0;       126.00;    531072.00;      3660.00;       384.00;         4.00;         2.00;       386.00;     52857.00;         0.00;         0.00;       100.00;        29.46;         0.44;       717.00;        63.00;        98.24;         0.37;         0.00;         0.00;         0.06
multdensity__k2_Hawaii1; 4; 12111; 90; {   8064       1       1}; {  128     1     1};        11.70711; 11264; 95; 20; 0;       126.00;    531072.00;      3660.00;       384.00;         4.00;         2.00;       386.00;     52857.00;         0.00;         0.00;       100.00;        29.45;         0.44;       721.94;        63.00;        98.23;         0.36;         0.00;         0.00;         0.06
multdensity__k2_Hawaii1; 5; 12111; 105; {   8064       1       1}; {  128     1     1};        11.71170; 11264; 95; 20; 0;       126.00;    531072.00;      3660.00;       384.00;         4.00;         2.00;       386.00;     52857.00;         0.00;         0.00;       100.00;        29.46;         0.44;       724.00;        63.00;        98.22;         0.36;         0.00;         0.00;         0.06
multdensity__k2_Hawaii1; 6; 12111; 120; {   8064       1       1}; {  128     1     1};        11.70844; 11264; 95; 20; 0;       126.00;    531072.00;      3660.00;       384.00;         4.00;         2.00;       386.00;     52857.00;         0.00;         0.00;       100.00;        29.45;         0.44;       725.38;        63.00;        98.22;         0.37;         0.00;         0.00;         0.06
multdensity__k2_Hawaii1; 7; 12111; 135; {   8064       1       1}; {  128     1     1};        11.71259; 11264; 95; 20; 0;       126.00;    531072.00;      3660.00;       384.00;         4.00;         2.00;       386.00;     52857.00;         0.00;         0.00;       100.00;        29.45;         0.44;       728.25;        63.00;        98.22;         0.36;         0.00;         0.00;         0.06
multdensity__k2_Hawaii1; 8; 12111; 150; {   8064       1       1}; {  128     1     1};        11.71082; 11264; 95; 20; 0;       126.00;    531072.00;      3660.00;       384.00;         4.00;         2.00;       386.00;     52857.00;         0.00;         0.00;       100.00;        29.46;         0.44;       722.94;        63.00;        98.23;         0.36;         0.00;         0.00;         0.06
connectNeighbors__k3_Hawaii1; 9; 12111; 191; { 500096       1       1}; {  128     1     1};      5100.15763; 4096; 108; 26; 0;      7814.00;   6202455.88;   2149728.82;      7816.00;         4.00;        10.00;      7826.00;   1008006.00;         0.00;         0.00;        98.51;        53.19;        42.70;  29692502.75;     10358.31;        50.16;         1.21;         0.00;         0.00;         0.23
removeEdges__k4_Hawaii1; 10; 12111; 232; { 500096       1       1}; {  128     1     1};       244.73600; 4608; 64; 18; 0;      7814.00;    955368.96;     54916.00;       529.00;         6.00;         3.00;       532.00;     40435.00;         0.00;         0.00;        99.99;        87.50;        20.11;    210531.75;      9765.62;        82.61;         1.32;         0.00;         0.00;         0.07
