#ProfileFileVersion=5.2
#ProfilerVersion=5.2.6553
#API=OpenCL
#Application=/home/pfandedd/git/SGpp/datadriven/examplesOCL/clustering_cmd
#ApplicationArgs=--datasetFileName datasets/friedman/friedman1_10d_150000.arff --level 6 --config config_ocl_float_w8100.cfg --k 5 --threshold 0.2
#WorkingDirectory=.
#Device Hawaii Platform Vendor=Advanced Micro Devices, Inc.
#Device Hawaii Platform Name=AMD Accelerated Parallel Processing
#Device Hawaii Platform Version=OpenCL 2.0 AMD-APP (2482.3)
#Device Hawaii CLDriver Version=2482.3
#Device Hawaii CLRuntime Version=OpenCL 1.2 AMD-APP (2482.3)
#Device Hawaii NumberAppAddressBits=64
#OS Version=Linux version 4.10.0-28-generic (buildd@lgw01-12) (gcc version 5.4.0 20160609 (Ubuntu 5.4.0-6ubuntu1~16.04.4) ) #32~16.04.2-Ubuntu SMP Thu Jul 20 10:19:48 UTC 2017 Build 4.10.0
#DisplayName=
#ListSeparator=;
#ForceSinglePass=False
Method; ExecutionOrder; ThreadID; CallIndex; GlobalWorkSize; WorkGroupSize; Time; LocalMemSize; VGPRs; SGPRs; ScratchRegs; Wavefronts; VALUInsts; SALUInsts; VFetchInsts; SFetchInsts; VWriteInsts; FlatVMemInsts; LDSInsts; FlatLDSInsts; GDSInsts; VALUUtilization; VALUBusy; SALUBusy; FetchSize; WriteSize; CacheHit; MemUnitBusy; MemUnitStalled; WriteUnitStalled; LDSBankConflict
cscheme__k1_Hawaii1; 1; 10979; 36; {  77568       1       1}; {  128     1     1};       351.24963; 5120; 55; 16; 0;      1212.00;   7237284.02;   1506764.00;     11725.00;         5.00;         1.00;     11726.00;    757032.00;         0.00;         0.00;        97.93;        70.38;        58.58;    268296.81;       302.78;        92.11;         3.23;         0.00;         0.00;         0.06
multdensity__k2_Hawaii1; 2; 10979; 60; {  77568       1       1}; {  128     1     1};       819.56978; 15872; 103; 24; 0;      1212.00;  12503061.00;     44245.00;      6070.00;         5.00;         2.00;      6072.00;   1212000.00;         0.00;         0.00;       100.00;        64.43;         0.73;    797606.38;       303.00;        85.41;         0.64;         0.00;         0.00;         0.04
multdensity__k2_Hawaii1; 3; 10979; 75; {  77568       1       1}; {  128     1     1};       819.49689; 15872; 103; 24; 0;      1212.00;  12503061.00;     44245.00;      6070.00;         5.00;         2.00;      6072.00;   1212000.00;         0.00;         0.00;       100.00;        64.44;         0.73;    421459.94;       303.00;        92.46;         0.66;         0.00;         0.00;         0.04
multdensity__k2_Hawaii1; 4; 10979; 90; {  77568       1       1}; {  128     1     1};       819.37422; 15872; 103; 24; 0;      1212.00;  12503061.00;     44245.00;      6070.00;         5.00;         2.00;      6072.00;   1212000.00;         0.00;         0.00;       100.00;        64.44;         0.73;    170945.50;       303.00;        96.92;         0.63;         0.00;         0.00;         0.04
multdensity__k2_Hawaii1; 5; 10979; 105; {  77568       1       1}; {  128     1     1};       819.21511; 15872; 103; 24; 0;      1212.00;  12503061.00;     44245.00;      6070.00;         5.00;         2.00;      6072.00;   1212000.00;         0.00;         0.00;       100.00;        64.45;         0.73;    981433.25;       303.00;        81.61;         0.66;         0.00;         0.00;         0.04
multdensity__k2_Hawaii1; 6; 10979; 120; {  77568       1       1}; {  128     1     1};       819.58770; 15872; 103; 24; 0;      1212.00;  12503061.00;     44245.00;      6070.00;         5.00;         2.00;      6072.00;   1212000.00;         0.00;         0.00;       100.00;        64.41;         0.73;    522413.56;       303.00;        90.60;         0.65;         0.00;         0.00;         0.04
multdensity__k2_Hawaii1; 7; 10979; 135; {  77568       1       1}; {  128     1     1};       819.41111; 15872; 103; 24; 0;      1212.00;  12503061.00;     44245.00;      6070.00;         5.00;         2.00;      6072.00;   1212000.00;         0.00;         0.00;       100.00;        64.45;         0.73;    488568.81;       303.00;        91.19;         0.65;         0.00;         0.00;         0.04
multdensity__k2_Hawaii1; 8; 10979; 150; {  77568       1       1}; {  128     1     1};       819.27674; 15872; 103; 24; 0;      1212.00;  12503061.00;     44245.00;      6070.00;         5.00;         2.00;      6072.00;   1212000.00;         0.00;         0.00;       100.00;        64.44;         0.73;    177889.00;       303.00;        96.82;         0.62;         0.00;         0.00;         0.04
multdensity__k2_Hawaii1; 9; 10979; 165; {  77568       1       1}; {  128     1     1};       819.53081; 15872; 103; 24; 0;      1212.00;  12503061.00;     44245.00;      6070.00;         5.00;         2.00;      6072.00;   1212000.00;         0.00;         0.00;       100.00;        64.45;         0.73;    172368.31;       303.00;        96.92;         0.63;         0.00;         0.00;         0.04
multdensity__k2_Hawaii1; 10; 10979; 180; {  77568       1       1}; {  128     1     1};       819.30696; 15872; 103; 24; 0;      1212.00;  12503061.00;     44245.00;      6070.00;         5.00;         2.00;      6072.00;   1212000.00;         0.00;         0.00;       100.00;        64.45;         0.73;    176484.75;       303.00;        96.85;         0.63;         0.00;         0.00;         0.04
