dim;dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density
4;500000;0;4.19676;195.201;9.63644;258.514
5;500000;0;5.11525;198.587;8.2842;261.308
6;500000;0;5.84076;207.582;6.95982;265.365
7;500000;0;6.6075;213.249;6.35866;270.189
8;500000;0;7.35494;218.31;7.21915;271.301
9;500000;0;8.16634;220.695;6.17031;267.299
10;500000;0;8.79155;227.363;6.90678;264.915
11;500000;0;9.50202;231.055;7.54097;266.558
12;500000;0;10.412;229.745;8.06512;271.602
13;500000;0;12.0697;214.48;8.8231;268.714
14;500000;0;12.5724;221.542;6.29275;270.289
15;500000;0;13.2614;224.859;6.69308;272.09
16;500000;0;14.4247;220.354;7.12731;272.387
17;500000;0;15.5858;216.553;7.84153;262.914
18;500000;0;15.9345;224.153;8.13812;268.11
19;500000;0;17.2353;218.643;8.7195;264.026
20;500000;0;17.2202;230.252;9.08241;266.717
21;500000;0;18.4505;225.555;9.46409;268.668
22;500000;0;19.5082;223.404;10.0033;266.208
23;500000;0;20.5886;221.23;10.5533;263.729
24;500000;0;21.087;225.325;10.7173;270.916
25;500000;0;21.891;226.031;11.4206;264.762
26;500000;0;22.7091;226.546;11.6287;270.366
27;500000;0;23.3397;228.849;11.8799;274.774
28;500000;0;24.3902;227.053;13.1526;257.329
29;500000;0;25.5939;224.057;13.2273;264.968
30;500000;0;25.6235;231.471;13.3302;271.944
31;500000;0;27.2546;224.832;14.2569;262.703
32;500000;0;27.8528;227.062;22.5712;256.893
33;500000;0;28.177;231.427;23.1299;258.487
34;500000;0;28.748;233.67;15.9973;256.676
35;500000;0;29.0326;238.151;16.839;250.987
36;500000;0;30.3712;234.129;16.806;258.637
37;500000;0;32.2533;226.562;21.3332;209.387
38;500000;0;31.8825;235.364;17.8672;256.737
39;500000;0;33.2807;231.383;18.2609;257.788
