dim;dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density
4;500000;0;0.223202;11.7046;0.180013;0.098518
5;500000;0;0.302283;17.998;0.185612;0.286743
6;500000;0;0.316045;31.9021;0.189324;0.674616
7;500000;0;0.33673;51.0157;0.167187;1.5274
8;500000;0;0.360676;76.1473;0.194175;2.9511
9;500000;0;0.329255;126.87;0.214132;5.51701
10;500000;0;0.34102;178.965;0.228822;7.4543
11;500000;0;0.397655;216.928;0.238153;13.03
12;500000;0;0.407572;290.964;0.255139;21.1005
13;500000;0;0.425438;374.26;0.23946;37.4569
14;500000;0;0.385419;543.519;0.278445;51.828
15;500000;0;0.420156;644.453;0.283562;52.9539
16;500000;0;0.437226;788.134;0.293696;77.6907
17;500000;0;0.515684;838.785;0.309425;109.431
18;500000;0;0.516093;1039.22;0.360432;136.496
19;500000;0;0.515162;1276.77;0.373435;187.813
20;500000;0;0.541365;1475.27;0.349454;281.257
21;500000;0;0.633599;1516.85;0.432499;313.546
22;500000;0;0.635388;1805.29;0.500235;368.761
23;500000;0;0.690569;1967.65;0.538953;459.581
24;500000;0;0.772789;2068.55;0.654982;501.759
25;500000;0;0.898914;2078.84;0.710659;606.872
26;500000;0;0.845503;2568.53;0.847298;661.205
27;500000;0;0.947676;2648.71;1.12516;640.726
28;500000;0;1.04699;2757.05;1.23939;741.956
29;500000;0;1.19244;2770.72;1.40345;828.963
30;500000;0;1.23016;3060.49;1.58821;919.692
31;500000;0;1.42729;2993.42;2.35;774.795
32;500000;0;1.51846;3180.68;3.68674;917.237
33;500000;0;1.97993;2747.45;4.11814;1010.3
34;500000;0;1.75332;3482.44;4.60945;1103.93
35;500000;0;1.92026;3557.45;6.20629;997.12
36;500000;0;2.00462;3800.93;5.20918;958.064
37;500000;0;2.57882;3285.96;5.74017;1046.46
38;500000;0;2.39987;3916.17;6.69065;1075.44
39;500000;0;2.78959;3726.81;17.3825;493.604
