dim;dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;density_iterations;avr_density_duration_per_iteration
4;500000;0;0.470337;5.55453;0.219005;0.0809777;7.0;0.03128642857142857
5;500000;0;0.598773;9.08608;0.217935;0.244215;6.0;0.0363225
6;500000;0;0.682575;14.7713;0.17801;0.717492;5.0;0.035602
7;500000;0;0.738743;23.2537;0.186302;1.37068;4.0;0.0465755
8;500000;0;0.82186;33.4175;0.214631;2.66983;4.0;0.05365775
9;500000;0;0.878047;47.5743;0.183935;6.42277;4.0;0.04598375
10;500000;0;0.94424;64.6345;0.197834;8.62188;3.0;0.06594466666666667
11;500000;0;0.900502;95.7938;0.24117;12.867;3.0;0.08039
12;500000;0;0.996109;119.052;0.220133;24.456;3.0;0.07337766666666666
13;500000;0;0.956216;166.515;0.243283;36.8682;3.0;0.08109433333333334
14;500000;0;1.03422;202.551;0.290639;49.6535;3.0;0.09687966666666666
15;500000;0;1.15442;234.552;0.26111;57.5072;2.0;0.130555
16;500000;0;1.18609;290.528;0.296502;76.9553;2.0;0.148251
17;500000;0;1.21576;355.785;0.307155;110.24;2.0;0.1535775
18;500000;0;1.3462;398.407;0.358683;137.161;2.0;0.1793415
19;500000;0;1.30144;505.398;0.360368;194.623;2.0;0.180184
20;500000;0;1.37023;582.865;0.438835;223.971;2.0;0.2194175
21;500000;0;1.56598;613.719;0.479883;282.586;2.0;0.2399415
22;500000;0;1.64516;697.234;0.54626;337.691;2.0;0.27313
23;500000;0;1.65724;819.914;0.600823;412.256;2.0;0.3004115
24;500000;0;2.07132;771.757;0.818987;401.28;2.0;0.4094935
25;500000;0;2.18411;855.589;0.966915;446.036;2.0;0.4834575
26;500000;0;2.3841;910.911;1.0389;539.261;2.0;0.51945
27;500000;0;2.86577;875.896;1.46287;492.812;2.0;0.731435
28;500000;0;2.9594;975.403;1.59076;578.073;2.0;0.79538
29;500000;0;4.32683;763.587;2.13477;544.979;2.0;1.067385
30;500000;0;3.71672;1012.96;2.36666;617.183;2.0;1.18333
31;500000;0;5.27015;810.694;3.08293;590.596;2.0;1.541465
