dim;dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density
4;500000;0;0.975695;2.67758;0.161393;0.109884
5;500000;0;1.23268;4.41355;0.284182;0.187284
6;500000;0;1.46413;6.88636;0.180551;0.707395
7;500000;0;1.71374;10.024;0.115547;2.21
8;500000;0;1.96643;13.9667;0.131006;4.37405
9;500000;0;2.23008;18.7314;0.140407;8.41388
10;500000;0;2.37553;25.6914;0.145165;11.7501
11;500000;0;2.53156;34.0749;0.206302;15.0417
12;500000;0;2.73493;43.3607;0.20314;26.5017
13;500000;0;3.08667;51.5846;0.275888;32.5111
14;500000;0;3.33603;62.7939;0.273539;52.7576
15;500000;0;5.19463;52.1251;0.333464;45.0295
16;500000;0;5.6618;60.8627;0.400598;56.9584
17;500000;0;6.04927;71.5042;0.528541;64.0645
18;500000;0;6.24063;85.9423;0.551965;89.1313
19;500000;0;6.60472;99.5867;0.731228;95.9154
20;500000;0;6.78807;117.656;0.773863;127.007
21;500000;0;7.06493;136.034;0.898551;150.919
22;500000;0;7.81618;146.754;1.10073;167.586
23;500000;0;8.40811;161.605;1.38059;179.411
24;500000;0;11.227;142.384;1.95233;168.334
25;500000;0;11.7935;158.452;2.37226;181.801
26;500000;0;15.2103;142.779;2.60528;215.039
27;500000;0;15.6548;160.342;3.69691;195.006
28;500000;0;16.5562;174.352;4.43554;207.32
29;500000;0;20.4711;161.394;5.8334;199.439
30;500000;0;21.1205;178.258;6.54191;223.278
31;500000;0;22.6307;188.792;7.69769;236.534
32;500000;0;23.6262;204.423;14.8822;227.226
33;500000;0;27.2539;199.596;17.6085;236.282
34;500000;0;31.6371;192.996;20.8852;243.641
35;500000;0;32.676;209.06;25.7462;240.363
36;500000;0;34.5067;220.809;20.3463;245.289
37;500000;0;39.7306;213.284;27.7268;216.646
38;500000;0;44.521;211.097;28.7597;250.191
39;500000;0;46.2906;224.588;32.3298;265.392
