dim;dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;density_iterations;avr_density_duration_per_iteration
4;500000;0;1.18736;2.20026;0.177879;0.0997;7.0;0.025411285714285716
5;500000;0;1.44146;3.77429;0.308728;0.172394;6.0;0.05145466666666667
6;500000;0;1.71622;5.87483;0.189171;0.67516;5.0;0.0378342
7;500000;0;1.96811;8.72844;0.116292;2.19586;4.0;0.029073
8;500000;0;2.24669;12.2244;0.133033;4.30741;4.0;0.03325825
9;500000;0;2.39376;17.4506;0.138504;8.52947;4.0;0.034626
10;500000;0;2.60073;23.4667;0.143493;11.887;3.0;0.047831000000000005
11;500000;0;2.84012;30.3728;0.207586;14.9487;3.0;0.06919533333333333
12;500000;0;2.99958;39.535;0.205583;26.1867;3.0;0.06852766666666667
13;500000;0;3.27576;48.6069;0.279778;32.0591;3.0;0.09325933333333335
14;500000;0;3.6078;58.0638;0.270174;53.4147;3.0;0.09005800000000001
15;500000;0;5.27563;51.3247;0.329447;45.5785;2.0;0.1647235
16;500000;0;5.76788;59.7434;0.402895;56.6336;2.0;0.2014475
17;500000;0;6.15681;70.2553;0.526714;64.2867;2.0;0.263357
18;500000;0;6.30362;85.0835;0.552071;89.1143;2.0;0.2760355
19;500000;0;6.79203;96.8404;0.737378;95.1153;2.0;0.368689
20;500000;0;6.86346;116.364;0.77177;127.352;2.0;0.385885
21;500000;0;7.16122;134.205;0.897184;151.149;2.0;0.448592
22;500000;0;7.89607;145.27;1.09487;168.484;2.0;0.547435
23;500000;0;8.53658;159.173;1.38494;178.848;2.0;0.69247
24;500000;0;11.2927;141.556;1.96784;167.007;2.0;0.98392
25;500000;0;11.8511;157.682;2.37418;181.654;2.0;1.18709
26;500000;0;15.2588;142.324;2.62006;213.826;2.0;1.31003
27;500000;0;15.7483;159.39;3.71026;194.304;2.0;1.85513
28;500000;0;16.6159;173.726;4.30102;213.804;2.0;2.15051
29;500000;0;20.5865;160.489;5.31187;219.02;2.0;2.655935
30;500000;0;21.2028;177.566;6.33685;230.503;2.0;3.168425
31;500000;0;22.8545;186.943;8.10646;224.607;2.0;4.05323
32;500000;0;23.4915;205.595;14.9269;226.545;3.0;4.975633333333334
33;500000;0;26.8123;202.883;17.7581;234.292;3.0;5.919366666666666
