dim;dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;density_iterations;avr_density_duration_per_iteration
4;500000;0;0.108818;24.0079;0.107537;0.164915;7.0;0.01536242857142857
5;500000;0;0.11645;46.7195;0.0159627;3.33421;6.0;0.00266045
6;500000;0;0.138478;72.8092;0.0492587;2.59286;5.0;0.009851740000000001
7;500000;0;0.154697;111.046;0.023825;10.7182;4.0;0.00595625
8;500000;0;0.197906;138.775;0.0187491;30.5629;4.0;0.004687275
9;500000;0;0.204767;204.0;0.0425511;27.7635;4.0;0.010637775
10;500000;0;0.228689;266.871;0.0463381;36.81;3.0;0.015446033333333333
11;500000;0;0.274838;313.867;0.0415243;74.7305;3.0;0.013841433333333333
12;500000;0;0.272453;435.262;0.0491154;109.61;3.0;0.0163718
13;500000;0;0.316022;503.839;0.0490063;183.026;3.0;0.016335433333333333
14;500000;0;0.277015;756.215;0.0600598;240.282;3.0;0.020019933333333333
15;500000;0;0.308948;876.429;0.0485205;309.472;2.0;0.02426025
16;500000;0;0.309835;1112.18;0.0505355;451.512;2.0;0.02526775
17;500000;0;0.392963;1100.74;0.0575854;588.009;2.0;0.0287927
18;500000;0;0.380058;1411.19;0.0707407;695.461;2.0;0.03537035
19;500000;0;0.396599;1658.46;0.103082;680.387;2.0;0.051541
20;500000;0;0.419733;1902.78;0.123257;797.412;2.0;0.0616285
21;500000;0;0.489944;1961.6;0.160569;844.549;2.0;0.0802845
22;500000;0;0.513153;2235.31;0.183676;1004.31;2.0;0.091838
23;500000;0;0.552407;2459.77;0.23342;1061.15;2.0;0.11671
24;500000;0;0.62527;2556.58;0.340107;966.293;2.0;0.1700535
25;500000;0;0.751328;2487.2;0.380645;1133.02;2.0;0.1903225
26;500000;0;0.635718;3416.14;0.474758;1180.05;2.0;0.237379
27;500000;0;0.81844;3066.96;0.791892;910.376;2.0;0.395946
28;500000;0;0.844001;3420.14;0.850213;1081.58;2.0;0.4251065
29;500000;0;0.994858;3320.99;1.01968;1140.96;2.0;0.50984
30;500000;0;1.02353;3678.33;1.17472;1243.41;2.0;0.58736
31;500000;0;1.21712;3510.31;1.94973;933.854;2.0;0.974865
32;500000;0;1.34827;3582.15;3.315;1020.1;3.0;1.105
33;500000;0;1.54612;3518.34;3.72533;1116.83;3.0;1.2417766666666668
34;500000;0;1.53377;3980.92;4.1808;1217.11;3.0;1.3936
35;500000;0;1.70414;4008.6;5.80471;1066.1;3.0;1.9349033333333334
36;500000;0;1.76671;4312.76;4.76232;1047.96;2.0;2.38116
37;500000;0;2.38635;3550.98;5.30456;1132.4;2.0;2.65228
38;500000;0;2.19301;4285.56;6.21812;1157.17;2.0;3.10906
39;500000;0;2.56054;4060.19;17.0862;502.163;2.0;8.5431
40;500000;0;2.86166;4008.77;16.1312;631.514;2.0;8.0656
41;500000;0;3.17133;3982.08;27.6913;434.988;2.0;13.84565
42;500000;0;3.41386;4063.02;27.849;509.427;2.0;13.9245
43;500000;0;3.90476;3893.23;40.7112;408.905;2.0;20.3556
44;500000;0;4.04859;4106.94;30.984;628.191;2.0;15.492
45;500000;0;4.30789;4213.29;45.9699;493.362;2.0;22.98495
46;500000;0;4.38987;4504.85;42.42;620.95;2.0;21.21
47;500000;0;5.23249;4110.45;74.0186;412.016;2.0;37.0093
48;500000;0;5.44915;4285.32;62.8748;559.889;2.0;31.4374
49;500000;0;5.55513;4556.3;92.6356;437.391;2.0;46.3178
50;500000;0;6.10597;4485.96;78.5023;592.424;2.0;39.25115
51;500000;0;6.40775;4618.96;105.318;505.5;2.0;52.659
52;500000;0;7.22223;4421.58;104.306;582.792;2.0;52.153
53;500000;0;7.52734;4570.79;162.533;425.996;2.0;81.2665
54;500000;0;7.64571;4841.79;152.82;514.826;2.0;76.41
55;500000;0;8.65108;4598.05;207.754;429.328;2.0;103.877
56;500000;0;8.77282;4866.01;162.039;622.669;2.0;81.0195
57;500000;0;10.3444;4423.27;226.179;503.542;2.0;113.0895
58;500000;0;10.5692;4634.78;208.117;616.448;2.0;104.0585
59;500000;0;11.4626;4569.97;334.136;431.65;2.0;167.068
60;500000;0;11.6549;4800.99;314.63;514.362;2.0;157.315
61;500000;0;12.9172;4622.23;416.089;435.598;2.0;208.0445
62;500000;0;13.0096;4892.01;344.402;588.336;2.0;172.201
63;500000;0;14.238;4759.88;526.54;429.459;2.0;263.27
