dim;dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;density_iterations;avr_density_duration_per_iteration
4;500000;0;0.245617;10.6365;10.0489;0.00176482;7.0;1.4355571428571428
5;500000;0;0.301701;18.0328;0.250611;0.212372;6.0;0.04176849999999999
6;500000;0;0.358639;28.1133;0.301786;0.423217;5.0;0.0603572
7;500000;0;0.392356;43.7829;0.358311;0.712679;4.0;0.08957775
8;500000;0;0.464597;59.1147;0.432304;1.32552;4.0;0.108076
9;500000;0;0.49046;85.17;0.163184;7.2395;4.0;0.040796
10;500000;0;8.55501;7.13389;8.38429;0.203441;3.0;2.7947633333333335
11;500000;0;0.596315;144.659;0.357149;8.68861;3.0;0.11904966666666666
12;500000;0;0.703289;168.62;0.373077;14.4301;3.0;0.124359
13;500000;0;0.697682;228.219;0.226522;39.5963;3.0;0.07550733333333333
14;500000;0;0.77007;272.03;0.252155;57.2318;3.0;0.08405166666666668
15;500000;0;0.96578;280.365;0.285942;52.5131;2.0;0.142971
16;500000;0;1.06988;322.084;0.319107;71.5041;2.0;0.1595535
17;500000;0;1.11007;389.659;0.38252;88.5203;2.0;0.19126
18;500000;0;1.19051;450.507;0.404489;121.629;2.0;0.2022445
19;500000;0;1.23712;531.671;0.448407;156.411;2.0;0.2242035
20;500000;0;1.32203;604.116;0.49384;199.025;2.0;0.24692
21;500000;0;1.36104;706.131;0.550611;246.287;2.0;0.2753055
22;500000;0;1.51554;756.866;0.626124;294.618;2.0;0.313062
23;500000;0;1.63653;830.291;0.706528;350.577;2.0;0.353264
24;500000;0;2.12039;753.895;0.956292;343.664;2.0;0.478146
25;500000;0;1.69304;1103.76;1.11234;387.722;2.0;0.55617
26;500000;0;1.82454;1190.27;1.29041;434.156;2.0;0.645205
27;500000;0;2.28502;1098.51;1.73681;415.083;2.0;0.868405
28;500000;0;2.33482;1236.33;2.04439;449.805;2.0;1.022195
29;500000;0;2.74638;1203.01;2.67999;434.107;2.0;1.339995
30;500000;0;2.9694;1267.9;3.08043;474.174;2.0;1.540215
31;500000;0;3.02638;1411.75;3.4828;522.788;2.0;1.7414
