dim;dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;density_iterations;avr_density_duration_per_iteration
4;500000;0;0.713406;1148.31;4.55103;547.383;10.0;0.455103
5;500000;0;0.855223;1187.79;4.0083;540.062;7.0;0.5726142857142857
6;500000;0;0.999662;1212.84;4.3292;426.613;5.0;0.86584
7;500000;0;1.13707;1239.19;3.07724;558.306;4.0;0.76931
8;500000;0;1.29507;1239.83;3.49229;560.825;4.0;0.8730725
9;500000;0;1.43168;1258.85;2.9682;555.662;3.0;0.9894
10;500000;0;1.58605;1260.29;3.27935;557.949;3.0;1.0931166666666667
11;500000;0;1.73539;1265.13;3.59412;559.276;3.0;1.19804
12;500000;0;1.87623;1274.95;3.8865;563.618;3.0;1.2954999999999999
13;500000;0;2.02275;1279.8;4.22007;561.814;3.0;1.40669
14;500000;0;2.15881;1290.21;3.10464;547.845;2.0;1.55232
15;500000;0;2.32213;1284.14;3.31179;549.891;2.0;1.655895
16;500000;0;2.50447;1269.15;3.48813;556.569;2.0;1.744065
17;500000;0;2.61736;1289.53;3.7433;550.756;2.0;1.87165
18;500000;0;2.98419;1196.9;3.91551;557.248;2.0;1.957755
19;500000;0;3.13717;1201.2;4.08265;563.891;2.0;2.041325
20;500000;0;3.41017;1162.7;4.29739;563.699;2.0;2.148695
21;500000;0;3.66464;1135.61;4.76041;534.135;2.0;2.380205
22;500000;0;4.57246;953.145;5.15463;516.615;2.0;2.577315
23;500000;0;5.40063;843.387;5.53269;503.05;2.0;2.766345
24;500000;0;6.4275;739.235;6.46009;449.45;2.0;3.230045
25;500000;0;3.63938;1359.58;7.49226;403.583;2.0;3.74613
26;500000;0;3.79748;1354.76;8.04189;390.954;2.0;4.020945
27;500000;0;3.96902;1345.74;8.69074;375.604;2.0;4.34537
28;500000;0;4.08588;1355.37;5.71931;591.773;2.0;2.859655
29;500000;0;4.23541;1353.94;6.01252;582.917;2.0;3.00626
30;500000;0;4.39542;1349.38;6.1281;591.548;2.0;3.06405
31;500000;0;4.53954;1349.85;6.49932;576.264;2.0;3.24966
32;500000;0;4.77394;1324.76;9.77698;593.065;3.0;3.258993333333333
33;500000;0;4.79973;1358.6;10.0029;597.702;3.0;3.3343000000000003
34;500000;0;5.03728;1333.56;6.97449;588.733;2.0;3.487245
35;500000;0;5.06167;1365.98;7.10346;594.974;2.0;3.55173
36;500000;0;5.2362;1358.0;7.41869;585.904;2.0;3.709345
37;500000;0;5.36716;1361.5;7.96505;560.813;2.0;3.982525
38;500000;0;5.53385;1356.02;7.82029;586.572;2.0;3.910145
39;500000;0;5.61733;1370.86;8.03403;585.936;2.0;4.017015
40;500000;0;5.88151;1342.72;8.21991;587.317;2.0;4.109955
41;500000;0;6.05593;1336.51;8.81985;561.002;2.0;4.409925
42;500000;0;5.98909;1384.25;8.52756;594.334;2.0;4.26378
43;500000;0;7.3898;1148.48;8.86197;585.477;2.0;4.430985
44;500000;0;6.64446;1306.9;8.93079;594.431;2.0;4.465395
45;500000;0;6.7839;1309.02;9.46476;573.602;2.0;4.73238
46;500000;0;7.15441;1268.71;9.42668;588.677;2.0;4.71334
47;500000;0;9.81347;944.975;9.979;568.146;2.0;4.9895
48;500000;0;7.12573;1329.0;9.82279;589.424;2.0;4.911395
49;500000;0;7.43369;1300.39;10.0721;586.777;2.0;5.03605
50;500000;0;7.46221;1321.77;10.2392;588.946;2.0;5.1196
51;500000;0;7.98657;1259.61;10.5715;581.807;2.0;5.28575
52;500000;0;7.77518;1319.14;10.6505;588.786;2.0;5.32525
53;500000;0;9.44547;1106.68;11.0568;578.023;2.0;5.5284
54;500000;0;8.2199;1295.61;11.2063;581.043;2.0;5.60315
55;500000;0;8.34795;1299.29;11.2445;589.767;2.0;5.62225
56;500000;0;8.32252;1326.88;11.5066;586.786;2.0;5.7533
57;500000;0;8.77172;1281.34;11.8528;579.793;2.0;5.9264
58;500000;0;8.98465;1272.86;11.9051;587.349;2.0;5.95255
59;500000;0;10.6824;1088.97;12.2846;578.992;2.0;6.1423
60;500000;0;8.91721;1326.58;12.3843;584.04;2.0;6.19215
61;500000;0;10.9715;1096.11;12.7019;578.908;2.0;6.35095
62;500000;0;9.48484;1288.65;12.6218;592.108;2.0;6.3109
63;500000;0;9.49882;1307.45;12.9451;586.609;2.0;6.47255
