dim;dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density
4;500000;0;0.444488;1843.05;2.21676;1123.78
5;500000;0;0.506205;2006.74;1.9447;1113.14
6;500000;0;0.549836;2205.08;1.77367;1041.28
7;500000;0;0.597025;2360.11;1.7094;1005.05
8;500000;0;0.644579;2491.02;1.97492;991.72
9;500000;0;0.721867;2496.68;1.70285;968.564
10;500000;0;0.781514;2557.7;1.73597;1054.0
11;500000;0;0.771938;2844.13;1.90734;1053.88
12;500000;0;0.887196;2696.25;1.99304;1099.08
13;500000;0;0.877528;2950.0;2.15671;1099.31
14;500000;0;0.911726;3055.0;1.63206;1042.15
15;500000;0;0.976703;3053.06;1.71877;1059.55
16;500000;0;1.05748;3005.76;2.09467;926.821
17;500000;0;1.09682;3077.21;2.24458;918.5
18;500000;0;1.16366;3069.42;2.41886;902.039
19;500000;0;1.20343;3131.35;2.53318;908.808
20;500000;0;1.29511;3061.51;2.64805;914.8
21;500000;0;1.39402;2985.32;2.78208;913.955
22;500000;0;1.58931;2742.21;2.99202;890.021
23;500000;0;1.76165;2585.54;3.07401;905.406
24;500000;0;1.71413;2771.91;3.13925;924.898
25;500000;0;1.92792;2566.52;3.29659;917.235
26;500000;0;1.84454;2789.13;3.49314;900.052
27;500000;0;1.87153;2853.96;3.58016;911.767
28;500000;0;1.9984;2771.16;3.58412;944.315
29;500000;0;1.94329;2950.92;3.93185;891.387
30;500000;0;1.81399;3269.64;3.9941;907.605
31;500000;0;1.88116;3257.41;4.09346;914.953
32;500000;0;2.09517;3018.53;6.05408;957.764
33;500000;0;2.03506;3204.3;6.28212;951.713
34;500000;0;1.93603;3469.75;4.39429;934.421
35;500000;0;1.9483;3548.81;4.58406;921.973
36;500000;0;1.99143;3570.69;4.82393;901.057
37;500000;0;2.08698;3501.4;4.93068;905.94
38;500000;0;2.10925;3557.65;4.63604;989.457
39;500000;0;2.1312;3613.26;9.04243;520.593
