dataset_size;refinement_steps;total_duration_generate_b;avr_gflops_generate_b;total_duration_density;avr_gflops_density;duration_create_graph;gflops_create_graph;duration_prune_graph;gflops_prune_graph
20000;1;0.198494;161.66;0.970006;202.59199999999998;0.724826;22.0743;0.261414;366.117
40000;1;0.260775;234.2335;0.9406859999999999;189.16649999999998;0.79972;80.028;0.364521;472.907
60000;1;0.36541999999999997;249.76800000000003;0.9364859999999999;188.5395;0.926917;155.354;0.471249;544.112
80000;1;0.491782;259.036;0.9734339999999999;198.8235;1.14482;223.615;0.621162;606.735
100000;1;0.498366;324.8215;0.976035;201.252;1.46251;273.502;0.744127;642.79
200000;1;0.857768;383.5965;0.9840260000000001;204.10250000000002;3.76749;424.686;1.36398;717.392
400000;1;1.279995;502.896;0.972071;203.3465;13.381;478.291;2.52591;762.348
600000;1;2.5624;377.7175;0.9782230000000001;203.019;26.2892;547.753;3.66805;791.229
800000;1;2.1403;604.7104999999999;0.979671;203.916;49.8842;513.189;4.90696;793.343
1000000;1;3.11179;515.7365;0.975131;201.59199999999998;72.0352;555.284;5.96749;802.162
